,0,predicted
67,@PoliticsVerse @Reggiebub I started noticing it with the Al Roker news. I can’t tell yo how many tweets there are saying his blood clots are a result of his covid vax 🤦‍♀️🤦‍♀️,-1
68,@NilsonnJrr só tem covid quem faz teste!!!,0
69,RT @N76247476Man: No politicians or president former or current took the Covid-19 vaccines or the boosters. They all know it was bullshit.…,-1
70,"RT @SenTedCruz: Joe Biden firing thousands of brave service men and women for refusing the COVID vaccine is wrong.
 
It should be your choi…",-1
71,"@CaptainFishUSA @SenRonJohnson Yes 77% of Covid deaths were in the unvaccinated until the virus mutated so many times as to not really match the vaccine anymore. Also the vaccines were mostly given in the first half of 2021,so they aren’t still effective.Very few boosted. Now 58% of Covid deaths unvaccinated.",-1
72,"RT @PeteUK7: Another dog walk. Got talking to an old pal.
Him: You're not still banging on about Covid are you?
Me: Well yes because it's b…",0
73,"RT @profesterman: https://t.co/S0t5mDfh3c 
So, this is why we are now seeing major outbreaks on cruise ships",-1
74,"RT @fengyunshe: 中共病毒打击欧洲艾滋检测，威胁艾滋病根除计划进展
世卫组织和欧洲疾病预防和控制中心的联合报告称，随着COVID-19大流行期间检测率下降，欧洲未确诊艾滋病毒的人数有所增加，威胁到2030年结束该疾病的全球目标。https://t.co/xx7HG…",0
75,"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",-1
76,RT @MODIfiedVikas: he speaks monologues well in front of a teleprompter only. Saw his in home coverages during Covid. Very incoherent. He i…,-1
77,RT @LaMonicaBuzz: Consumers may no longer be as worried about Covid when traveling. But inflation? That's another story. @trivago CEO @Axel…,0
78,"RT @GTV26543476: 在中共最高安全机构中央政法委强调要“打击敌对势力的渗透和破坏活动”，加紧整肃近日反封控抗议之际，美国驻中国大使伯恩斯星期三(11月30日)表示，美国坚信中国人民有和平抗议的权利，有自由表达观点的权利，有发出自己声音的权利。
https://t.…",0
79,RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,-1
80,RT @DrIanWeissman: Her son's heart surgery has been cancelled twice. Surgeries are being cut as children's hospitals struggle with the surg…,-1
81,"RT @Mimiiiiim15: Voilà comment sont mes jambes à cause du covid,et ces médecins qui vous disent c’est le stress ?mdrrrr, personne ne donne…",0
82,RT @onlyyoontv: #China state media reported today communities in Beijing can quarantine #Covid19 infected people at home instead of governm…,0
83,"Economics in the Age of COVID-19 MXZTSU7

https://t.co/mUzg84QU0U https://t.co/HgwxKE0MCI",0
84,Canalhas proteger de que ???? COVID morreu genocidas https://t.co/bvuRSYolcF,0
85,"RT @GOPLeader: The Covid vaccine mandate in the military is wrong.

Our heroes have been fired. Our country is less safe.

I told the Presi…",-1
86,RT @WatchChad: COVID was made by design in a Chinese lab and the vaccine doesn’t work. In fact it does more damage than the disease. You ca…,-1
87,"RT @nettermike: House Republicans must hold COVID hearings: We need accountability for damage done to school kids, businesses - Fox News ht…",-1
88,"RT @MeetJess: COVID hospitalization rates in babies as bad as for seniors amid Omicron wave

Infants younger than 6 months had the same rat…",-1
89,RT @fudrilshi: i cured my self of covid 19 by reading BL,0
90,"You could prob make a clever bumper sticker from, moved to fucking OR to help dad thru cancer treatment. He’s in remission. Wishes I hadn’t. All I got: 3 yrs life stolen, 1a for covid jab. As I woulda anyway, caregiver or not: mental health professional. Oh, raging complex PTSD",0
91,"RT @liqian_ren: Vice premier Sun Chunlan, lockdown enforcer, meeting with Covid experts.

Xinhua news now has no “dynamic zero” in the lang…",0
92,"RT @MizukiS: 【重要！】

５６７ワ●チ●接種後も生き残る可能性があります！

ぜひご覧下さい

半泣きで声を詰まらせながら話してくれてます
もらい泣きしてしまいました

薬局の方が必死に伝えてくれています

コロナが詐欺だと氣づいてない無防備な方に
ぜひこの動画を…",0
93,RT @keetmuise: #BringBackMasks #COVID19 #covid #COVIDisAirborne #CovidIsNotOver,-1
94,"RT @asosin: Rail workers in California were twice as likely to die from COVID-19 compared with workers in all other other industries, an Au…",-1
95,RT @qo_ideme6: Etrange !! on ne parle plus de la guerre en Ukraine ! Ils ont rebasculé sur le covid et les Macronistes se réveillent un peu…,0
96,RT @RubinsteinOk: La falta de transparencia en la gestión de las vacunas para el COVID 19 fue marca registrada del gobierno. Se sigue sin s…,0
97,Semalam sakit pinggang tak boleh bawak bincang walaupun period lambat lagi. Pastu sakit2 satu badan. Masa nak tidur badan menggigil2 walaupun tak demam. Sekali check positive covid 😭 mujur ahli lain dalam rumah ni negative,0
98,"RT @SamGh1960: NEARLY 40% OF ALL COVID-19 DEATHS WERE NOT AN ACCIDENT...
🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/kRUtzwmA4x",-1
99,RT @ProudElephantUS: @BillClinton @kylenabecker Wait I thought you guys said the vaccinated couldn’t get COVID?,0
100,"RT @JoJoFromJerz: He called for the execution of the Central Park Five, claimed our first Black President wasn’t born here, called Mexicans…",-1
101,RT @Mssarahmssarah: I still see zero media mentions of the fact that three children have died of covid in NYC in the last week and a half.…,-1
102,RT @akafacehots: The covid vaccine doesn't work! LOL i can say this and not get banned! Keep foaming liberals,-1
103,"RT @rhtunstall: RT @WesElyMD@med-mastodon.com
1st study: COVID vs Flu - compare

📌N= 7,082 hospitalized pts  50/50 COVID vs. Flu &amp; Matched…",0
104,"RT @Shane58637790: Why is no one talking about the 2.2 billion Fatty stole from Covid fund and poured into this year's budget, even though…",-1
105,"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",0
106,"RT @rifain_nouvelle: 🔥François Braun Ministre de la Santé révèle à l'AN qu'il n'est pas #VaxXiné car il a eu le #COVID ""le 7 juin de l'anné…",0
107,"RT @l_am007: AYUSH Doctors (RBSK, MHU, COLOCATED) Have done a tremendous and dedicared job in the management of Covid in Odisha. Many losed…",1
108,"RT @CKellyUAP: OUR HOSPITALS ARE FULL OF THE QUADRUPLE VACCINATED 💉💉💉💉

The ABC will never report this.

The  NSW govt’s own data shows tha…",-1
109,"RT @GuntherEagleman: If the vaccine doesn’t prevent the transmission of COVID,  why the fuck was it mandated...?",-1
110,@odeo64 @ellymelly My unvaxxed friends who had Covid are fine. Most of us took Ivermectin. My friends with long term or serious problems had the vax. One nearly died from her multiple blood clots.,0
111,"@BillClinton Yeah, yeah, yeah Covid blah, blah is this real? 😂 https://t.co/38Y9NPqvJo",-1
112,RT @JReinerMD: The military already mandates 17 other vaccines. Why single out the COVID vaccine? This type of mindless politicization is w…,-1
113,"@DrCanuckMD @SeattleiteLeo @RyanMarino @SixOnTheOther @StompemAll @TMccarthyisms @AlexBerenson @DrJenGunter My sample size maybe anecdotal to you, but I've been living my normal mask free life since covid came and I'm perfectly fine. 😉 you keep living a life of fear and turning America into a bunch of hypochondriax",0
114,RT @Bbmorg: Who are associated with massive unlawful payments to pals during Covid and who are associated with risking their lives working…,-1
115,"@EricMMatheny The majority of people who have died from covid are UNVACCINATED ! People who are vaccinated can get covid, but have a great chance to not die!",-1
116,@RepMTG You mean in the way trump owns all those covid deaths..,-1
117,RT @daralynn13: ELON MUSK ACCIDENTALLY UNLEASHED COVID-19 WHILE FELLATING A BAT,-1
118,"Biểu tình khắp nơi ở Trung Quốc, nơi đang bị chính quyền áp dụng chính sách phong tỏa Zero Covid 1 cach ngu ngốc và dã man. Ủng hộ người dân TQ đứng lên lật đổ chính quyền Cộng Sản mọi rơ.

https://t.co/Xtmcxsa683",0
119,"RT @paulstpancras: Officials slow to act on Covid contact-tracing warnings, leaked evidence says ~

https://t.co/v2VYroPSsz ~",-1
120,"Worst part about it is I bought these shoes during Covid lockdown and forgot. So literally they forgot to send me the shoelace over a year and a half ago, but we was in the house so I forgot I even bought the damn shoes or to look at them when they got here.",-1
121,"RT @OEFvetted: I’ve tested positive for Covid. I’m grateful to be vaccinated and boosted, which has kept my case mild, and I urge everyone…",1
122,"@NototyrannyNOW Covid was real, but it was used to bring heat on the GOAT President Trump.",-1
123,"@Chris_AutismDad @MartinDoyle617 @cpso_ca @nilikm Well, that’s what my original point is about. I don’t know all the other things because I don’t follow her. I see her on tv, I know she’s a doctor worried about kids getting long Covid 

It seems anti maskers &amp; right wing don’t like her.",-1
124,RT @TomiLahren: Fun fact: VACCINATED Americans now account for the majority of COVID deaths,0
125,RT @Osama_otero: covid?,0
126,"RT @matthewdmarsden: Hey people that didn’t take the covid 19 vaccination. 

How are we even still alive?",-1
127,@MMA_DDMM Is there really nothing terrible about COVID-19? How many people died of COVID-19 in the United States,-1
128,RT @branemark1: China está impulsando un estudio dudoso que afirma que un corredor sin máscara infectó a casi 40 personas con COVID en un t…,0
129,"RT @medical_for_all: COVID-19の感染爆発でDMATが入っている北海道、DMATですよ……？
災害なんですよ、今月だけで何百人が亡くなるのですか……処方できる解熱鎮痛剤がまだある所があったならよし、とか私が言ってるの狂ってますよ。

これが実態であるこ…",0
130,RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…,-1
131,"The COVID-19 version of me by Lensa...
 #aiart ? https://t.co/BxWDIb5xt3",0
132,RT @NEWSMAX: Videos of COVID-19 protests in China continue to surface on Chinese sites despite the country's strict internet censorship. Ch…,0
133,RT @DrEliDavid: Canada's 🇨🇦 PM Justin Trudeau condemnded what's happening in China. Below is some horrible footage from police brutality in…,-1
134,"@100toMastery @mike32015444 Are you aware of this excellent video which exposes the ""C0VlD"" Iies in the 🇺🇸?
https://t.co/ykFpvonSof
Very relevant also for 🇨🇦 and many other countries.
A must-watch!! 🔥🔥",1
135,RT @PeterHotez: Why Long Covid could be 'the next public health disaster'. My comments and interview with ⁦@GregIacurci⁩ ⁦@CNBC⁩  https://t…,-1
136,RT @COQUEMUNIZ: NO LO QUERÍA DECIR PERO AGUAS! En cdmx ya son varios conocidos que tienen otra vez COVID! NO TE CONFÍES PORFA CUÍDATE Y CUI…,0
137,RT @arieella_: Happy birthday Covid?,1
138,"RT @DrGJackBrown: 2/ 
B. COVID can kill you, farts cannot.
C. Cotton Underwear, even ""really thick ones, high quality cotton"" are not const…",-1
139,"RT @infosalus_com: Se cumple un año de la llegada de Ómicron, la variante más contagiosa de Covid-19 hasta la fecha

https://t.co/zMBDYzNVhr",0
140,European women’s work-life balance worsened since COVID outbreak — study https://t.co/kbnCDC4nYh,-1
141,"RT @Teensthack: Taking a #Covid -19 vaccine not binding on anyone: Govt

Govt tells SC that vaccine beneficiaries have the option to access…",0
142,"@Beaufighter_MkI Iowa has a WitchDoctor as Governor.
She held a New Years Eve like party when Republican Iowa Senator Pat Grassley brought her a bill banning masks in school.
Look to Mid January 2023 as to whether Covid is going away, or just then coming back in a big way.",-1
143,"RT @MemodiApp: Principales causas de muerte materna en Mexico hoy en día:

1. COVID 
2. Trastornos hipertensivos 
3. Hemorragia obstétrica…",0
144,"@GOPLeader You know, Mr. McCarthy, I really shouldn't be doing this, but, you guys really should be reading about how COVID affects Republicans...
https://t.co/gIMV238pzE",-1
145,"RT @AlexVita9: @GOPLeader So you don’t care if they become ill perhaps die or have struggles from long Covid or infect others then Kevin?
T…",-1
146,"@HaHaFunnyAcct @ThatFurryNinja Given the bangup job that government at every level has done fighting covid, I'm honestly proud of our community for doing more than the legally required minimum.",1
147,RT @elheraldoco: A 36 mil cae el número de casos de la covid-19 en China; 87 % asintomáticos ➡ https://t.co/rpCiwlzohH https://t.co/NUSn0h0…,0
148,"RT @LynnCha22280011: @RepMarkGreen @HouseGOP Your @GOP colleague SAID they were going to FIX Inflation, Immigration &amp; Crime. 

Does Hunter’…",-1
149,European women’s work-life balance worsened since COVID outbreak — study https://t.co/G58Aub9uoQ,-1
150,RT @washingtonpost: The rollback of Twitter’s covid misinformation policy is just the latest pivot since Elon Musk took control of the comp…,0
151,RT @EmmaRincon: 🚨🇨🇳 | La policía sanitaria de Xi Jinping está literalmente violando por el ano a una mujer en plena calle con una prueba co…,0
152,@TwatterWiz @1goodtern No I’ve had no vaccines for covid,0
153,"RT @jabeale: ...portrayed Apple as a victim of China's Covid lockdown at the factory, costing them a $billion a week. 

Not mentioned, Appl…",-1
154,"@Amy31129057 @Kerrie1303 Doctors and hospitals made and still do, a lot of money for declaring deaths as covid on certificates. What a rort! Not only to make lots of money but also to suit the given false narrative, the must to get the clot shots. A man who died in a car crash in NZ was registered as Cov",-1
155,RT @EricMMatheny: If somebody sold you a car in the manner in which the COVID vaccine was sold and then the car performed in the manner in…,0
156,I was so ready to see SF9 on Monday and now I can’t go bc I have fucking Covid,-1
157,"RT @LauraMiers: LongCovid is debilitating &amp; life-changing. We are going to disable millions more.

“Of the nearly 24 million adults in the…",-1
158,"COVID-19 and World Order: The Future of Conflict, Competition, and Cooperation 4VCOVRF

https://t.co/CtObHsNsIf https://t.co/VW3t3eWPpR",0
159,"RT @EricMMatheny: If the vaccine doesn’t prevent COVID; it doesn’t stop transmission; and if you get COVID, it could still be fatal…so what…",-1
160,RT @brasildefato: O estado do Rio de Janeiro concentra altos dados de casos e óbitos por tuberculose. A pandemia de Covid-19 pode ter agrav…,0
161,"RT @fengyunshe: 广州多区放宽COVID规定
因受清零重创，周末广州人走上街头抗议，周三广州市海珠、白云、番禺、天河、从化、花都、荔湾等城区当局表示正在解除临时封锁，官员周二宣布，将允许COVID病例的密切接触者在家中隔离。https://t.co/WvpeYSf…",0
162,RT @dcohenagrest: Alarma ante rebrote de COVID? O intento de evitar un diciembre “caliente”?,0
163,More vaccinated deaths than unvaccinated deaths from covid (US) https://t.co/tJbr23ZZrz via @YouTube,0
164,"RT @Dany98833869: @MarujustotMaria En gran parte del mundo vendrá más pobreza ..recesión .............sublevaciones ...etc ..etc

Por eso l…",0
165,"RT @wopizza2: These kids have been fighting for freedom and against tyrannical covid mandates at the University of Alberta since day 1. 

T…",0
166,RT @HHSGov: Get protection against the original COVID virus and Omicron — so you and your loved ones will be safer when you gather this hol…,0
167,@RubinReport @dougmastriano None of the world’s supervillains die of COVID.,-1
168,"Tell me that #China gave up to the protester's demands without saying that China gave up.....

China is lifting the covid lockdowns!

A win for the protesters!!! https://t.co/ZZRag3WGT8",0
169,"RT @SumitAhuja17: Itihaas Yaad Rakhega –
👉An Innocent Hindu Saint kept in jail for 10+ years.
👉No bail given even during Covid
👉All the evi…",-1
170,"Excerpt: ""...community masking can help prevent the spread of a range of respiratory infections."" #COVID19 #Flu #Mask #MaskUp

https://t.co/JFMrb6u2Ar",0
171,Last set… Covid got me on my last breathe…,-1
172,RT @pituto99: Sigo insistiendo: ¿donde están los 60 palos verdes que le dieron a Sigman par que hiciera las vacunas COVID 19?🤷🏻‍♂️🤌🤌,0
173,"@Wayduhhhh @YALiberty Let me ask you something? Why did the entire worlds leaders. Macron, Trudeau amongst others condemn the January 6 insurrection but didn’t condemn this? Covid zero policies have been going on for almost 2 years in China. Not a peep from those democracy lovers",-1
174,"RT @Dakota_150: ""Long Covid may be ‘the next public health disaster’ — with a $3.7 trillion economic impact rivaling the Great Recession""…",-1
175,@news18dotcom Who send the scientists? Wetin them dey dig? We never recover from COVID. God abeg oh,-1
176,"@MarkLevineNYC Was this the part where you killed old people in mass by forcing COVID patients back in to nursing homes so that you could bump up your body count? You’re depraved liars, Mark, and everyone knows it.",-1
177,"RT @Filippo60: Students protesting Xi Jinping harsh 0 covid  measures which have been destabilising, and created drastic problems in China’…",-1
178,"RT @GovStitt: Today, I joined 20 other Republican governors urging lawmakers in Washington to remove and prohibit Biden's COVID-19 vaccine…",0
179,RT @observerug: #Uganda govt officials swindled Shs 168.8bn #Covid19 cash - audit. Ministry of #Health claimed to have paid the service pro…,-1
180,"RT @nspector4: [Yep] ""Importing mRNA vaccines would be an acknowledgment that China’s vaccines are less effective...reversing course on COV…",-1
181,RT @_DramaKing_: Y’all too comfortable fucking in public for me. Getting plowed in dressings from leaking bodily fluids everywhere. This is…,-1
182,RT @BobFu4China: Unbelievable scene of #CCP cruelty in the name of COVID tyranny. This Chinese mother was about to give birth but the hospi…,-1
183,"RT @MicheleRivasi: En commission COVID, j'ai interrogé les experts : comment qualifient-ils le fait que la firme américaine du mari de la p…",0
184,"@timmacd64 Lol. Nice try. 

https://t.co/M6pEyrM1DH",1
185,RT @KajunaD: It was great honor &amp; previledge to have to hear from the Africa CDC director @laktarr001 on the continent's ambition to achiev…,1
186,"RT @KillAdolf: Nunca usé barbijo, tampoco me encerré y no tengo ninguna vacuna contra el covid. No sé que les hace creer que después pasarm…",0
187,"@irishrygirl @GOPLeader ""The Covid vaccine mandate in the military is wrong.""

It's cool that you can spell so many big words, but they are nebulous and  aren't responding to his point. We can all agree hepatitis is bad tho 🤘",-1
188,@_tylerswife Tiene seguro covid porque no le inyectan la letal ?,0
189,RT @elitearehere: #China: Stormtroopers are going to take this guy to the Covid gulag! https://t.co/3DiKqNylQT,-1
190,"RT @duty2warn: Covid misinformation is now OFFICIALLY acceptable on Twitter.
Not joking https://t.co/eOg339juK0",0
191,RT @DonLew87: Yale study finds excess deaths during the Covid-19 pandemic were impacted by political affiliation and that the partisan gap…,-1
192,RT @jordanbpeterson: The Chinese can protest COVID authoritarianism but supporters of Canadian truckers need to have their bank accounts fr…,0
193,RT @msalnacion: El Ministerio de Salud de la Nación informa que son falsos los mensajes que están viralizándose por Whatsapp sobre la “nuev…,0
194,@YourKayBol Ehlile batho ba nkana kea bona. Only a drop in 2020 maybe as a result of the Covid-19 pandemic.,0
195,RT @LauraPowellEsq: No one knows what constitutes “Covid misinformation” under AB2098. Interesting that this is the most compelling example…,0
196,"RT @JP__75: “The unvaccinated are terrorising the vaccinated causing mental stress which is leading to blood clots, heart attacks and strok…",-1
197,this fever has kicked my ass for the last 3 days. pretty sure i have the flu. &amp; its worse than when i had covid 😭,-1
198,RT @canammissing: @StevePhillipsMD 20 months ago my son took his life in LA County. Being retired law enf I had a lengthy conversation with…,-1
199,"@SteveInmanUIC Because he ""caught covid"" just in time to have to avoid the press?",-1
200,"RT @IsThisReallyNe8: @1goodtern I heard a new one the other day:

“Yeah, she was really sick. She tested positive for COVID…but I mean, it…",-1
201,"#Covid_19 #COVID 
#Covid19
Datos... https://t.co/4dDnU4JJGF",0
202,RT @JuezLopezMDP: Argentina: fallo judicial suspende inoculaciones contra el Covid en menores por falta de información sobre efectos advers…,0
203,RT @victoriacake3x: Remember that 19yr HES BACK AFTER COVID AND JUST TURNED 21yrs old and he’s so lucky to pound this CAKE https://t.co/VoI…,1
204,"RT @CNN: Video obtained by CNN shows violence in China at Foxconn, the world's largest iPhone factory. Workers are protesting unfair treatm…",-1
205,#China state media reported today communities in Beijing can quarantine #Covid19 infected people at home instead of government centers but no word from city. Now @globaltimesnews report no longer opens. https://t.co/Nd0sMJYILD (Adds to residents’ confusion over Covid controls.) https://t.co/DrDX1541GJ,0
