@JohnRenfro2016 Do you think it could be a 4th round of covid?,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
@elitetakes_ covid year for nfl and nba was very weird,,en
@BillClinton Get vaxxed &amp; Covid!,,en
"@Annydesigns Hasta hace nada los médicos de TV reclamaban q no traían la nueva generación de vacunas y q las q estaban habían quedado obsoletas, hoy me desayuno con los mismos pidiendo q por favor se vacunen con estas vacunas
🤯
Hace un mes todo el mundo enfermo fuerte y ni nombraban el Covid",,es
I’ve been wanting to go back for a while now but they were on that COVID restrictions bs. 🥴 https://t.co/eBlDwITFd0,,en
RT @Stillgoing1972: @NotaliaMateo @NototyrannyNOW Scam in 2020 there was only 6 deaths from influenza when there is usually over 30000 they…,,en
"Beltway Insider: Biden/Thanksgiving, VP, Russia/Ukraine, Italy, China, COVID/Vaccine Totals, Idaho Murders https://t.co/iF0A7OkvxN",,en
"RT @michaelharriot: Everybody else: “pre-pandemic”

Black folks: “Fo’ COVID hit”",,en
"RT @Dog4Running: Asymptomatic Covid = false positive Covid test.

See how easy that was?",,en
RT @Jima_Sofia: Vamos a fingir demencia frente a esta nueva ola de Covid no? estamos todos de acuerdo?,,es
RT @RustBeltRebel: Loooool the same people that think covid shots inject you with microchips are like yay we love brain implants!!!!,,en
"RT @naoyafujiwara: すでに停止されたツイッターのコロナ検閲の実態。

コロナが始まった20年1月以来、1,172万件の警告が出され、11,230件のアカウントが閉鎖され、97,674件の書き込みが削除された

https://t.co/y65zZ7YqgS h…",,ja
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
"RT @Expresoec: Según el informe de la Mesa Técnica de Salud del COE Cantonal de Guayaquil, en el Puerto Principal se registran ya más de 1.…",,es
@berner_gayle @catturd2 I prefer living vs dying or suffering from Long Covid,,en
"RT @Robber_Baron_: Actual Covid misinformation:
 👕 Old t-shirts make good masks
 ⛳️ Playing golf spreads Covid
 🛝 Playgrounds are dangerous…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
RT @N76247476Man: Why is Bill Clinton telling anyone he has Covid-19? The guy is a rapist and a child molester. I do not give a fuck about…,,en
RT @verity_france: Twitter confirme ne plus filtrer les fausses informations sur le Covid-19/ nous allons enfin pouvoir avoir de vraies inf…,,fr
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
"RT @faidha_kambwili: The time is now, we should act now. Africa community is ours let's fight COVID-19 and protect Africa

#shootyourshot #…",,en
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
RT @manuelrico: Hoy hace 987 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,,es
@JennyBlighe Oh no!! Covid?,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @johnrackham82: Christians aren't hard to deal with, they are just hard to fool. 

This is why Christians know COVID, climate change and…",,en
RT @JanJekielek: #ChinaProtests: “These are the most significant protests since '89…a boiling over of not just frustration at the very drac…,,en
RT @doctormacias: Se incrementa abruptamente la tasa de positividad de covid en la península de Yucatán. Parecen predominar BQ.1 y BW.1 (es…,,es
RT @BlackKnight10k: Imagine trashing the vaccines for 2 years and ending up in the hospital with covid like Diamond,,en
"RT @sav_says_: Remember when COVID cultists equated the unvaccinated to suicide bombers and called for us to be arrested, jailed and banned…",,en
"RT @KitemuoT: La Corte Costituzionale, chiamata a giudicare la costituzionalità dell'obbligo vaccinale Covid, è composta da membri che indo…",,it
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
RT @Kaushik43390984: Sir #RPF_Vacancy Me #Age_Relaxation Plz Dijiye Nahi To Bohot #RPF_Aspirants Ka #Dream Khatam Ho Jayenge Jo #Covid_Situ…,,hi
"RT @kimguilfoyle: President Trump imposed tariffs on China, withdrew from the pro-China WHO, and sanctioned communist officials.

Joe Biden…",,en
"RT @GrahamAllen_1: The US Military should drop the COVID Vaccine Mandates NOW! 

Bring back everyone wrongfully kicked out with Back Pay, E…",,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"https://t.co/0gMsLxSTVv
£4.5bn lost to fraud in three COVID schemes as Rishi Sunak's Eat Out to Help Out scheme recorded 9.5% rate of fraud, HMRC says https://t.co/CicuDSNxKq",,en
"RT @fengyunshe: 抗议蔓延，广州和重庆放松清零限制
中国大城市广州和重庆周三宣布放宽COVID限制，重庆将允许符合某些条件的COVID-19患者的密切接触者在家隔离，此前一天广州南部的示威者在一系列抗议世界上最严格的限制的抗议中与警方发生冲突。https://t.…",,zh
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
COVID-19 taught us many lessons..one such is that access to internet and ICT tools can drive or derail our development efforts. Can’t wait for @UNDPJamaica to share deets on how we’re supporting 17 underserved communities in bridging the digital divide 🙌🏿 https://t.co/YvAod3GyE6,,en
"1
14,399 new COVID cases reported in Tokyo on Wednesday | NHK WORLD-JAPAN News https://t.co/1iCp4R0bks",,en
RT @Creshna1: @ImaniDH_ It really is a lot like Covid. One person may get it and die. Another may cough for 2 days and be fine. So it’s bes…,,en
RT @eduardomenoni: 🚨NUEVO - Protestas contra el confinamiento cero Covid de China en Guangzhou.  Ni los chinos se creen esta farsa de la pl…,,es
"RT @OiOi1664: Scientifiquement ça serait les vaccins qui aurait sauvés les gens atteints du Covid ! 

Mais scientifiquement, qu’est-ce qui…",,fr
"RT @VIAwesome: Is that cough just a cold, or is it COVID-19? Does my child have strep or just a sore throat?  https://t.co/D4OYmi5u2X",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"RT @ProdigalThe3rd: Moderna’s COVID-19 vaccine animal trial study showed a 295% increase in abnormal ribs (e.g. wavy, nodules) in offspring…",,en
@DFarstveet @kylenabecker You must be living with your head extra far up your ass...how come the vaccinated now make up the vaaast majority of covid deaths now...,,en
RT @santiagomayer_: COVID-19 was created in a Tesla lab,,en
"RT @SamAntar: Yes, @MarkLevineNYC. Here is a painful reminder that you encouraged Asian Americans to a attend a mass maskless public gather…",,en
RT @mehdirhasan: So let me get this straight: the same folks who crazily believed the Covid vaccine was an attempt by Bill Gates to put mic…,,en
"RT @OzraeliAvi: #BREAKING: Police in China fire on unarmed civilians protesting harsh Covid lockdowns.

Oh wait, that’s Melbourne.

Carry o…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
RT @MarkLevineNYC: One of Musk’s most consequential twitter policy changes has been to allow dangerous public health messaging to spread li…,,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"RT @ABerman333: Yes.
If they are too Republican to get a COVID vaccine shot, they don't have to to be in the military. We don't need rebels…",,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",,en
"RT @philippeherlin: ⚠️SCANDALE : @france_soir n'est plus reconnu comme un service de presse par la CPPAP, et perd les avantages fiscaux aff…",,fr
"RT @Dakota_150: ""Why long Covid could cost the U.S. nearly $4 trillion""

Long Covid is not just changing the lives of those affected, but p…",,en
@PoliticsVerse @Reggiebub I started noticing it with the Al Roker news. I can’t tell yo how many tweets there are saying his blood clots are a result of his covid vax 🤦‍♀️🤦‍♀️,,en
@NilsonnJrr só tem covid quem faz teste!!!,,pt
RT @N76247476Man: No politicians or president former or current took the Covid-19 vaccines or the boosters. They all know it was bullshit.…,,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @SenTedCruz: Joe Biden firing thousands of brave service men and women for refusing the COVID vaccine is wrong.
 
It should be your choi…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"@CaptainFishUSA @SenRonJohnson Yes 77% of Covid deaths were in the unvaccinated until the virus mutated so many times as to not really match the vaccine anymore. Also the vaccines were mostly given in the first half of 2021,so they aren’t still effective.Very few boosted. Now 58% of Covid deaths unvaccinated.",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @PeteUK7: Another dog walk. Got talking to an old pal.
Him: You're not still banging on about Covid are you?
Me: Well yes because it's b…",,en
"RT @profesterman: https://t.co/S0t5mDfh3c 
So, this is why we are now seeing major outbreaks on cruise ships",,en
"RT @fengyunshe: 中共病毒打击欧洲艾滋检测，威胁艾滋病根除计划进展
世卫组织和欧洲疾病预防和控制中心的联合报告称，随着COVID-19大流行期间检测率下降，欧洲未确诊艾滋病毒的人数有所增加，威胁到2030年结束该疾病的全球目标。https://t.co/xx7HG…",,zh
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
RT @MODIfiedVikas: he speaks monologues well in front of a teleprompter only. Saw his in home coverages during Covid. Very incoherent. He i…,,en
RT @LaMonicaBuzz: Consumers may no longer be as worried about Covid when traveling. But inflation? That's another story. @trivago CEO @Axel…,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @GTV26543476: 在中共最高安全机构中央政法委强调要“打击敌对势力的渗透和破坏活动”，加紧整肃近日反封控抗议之际，美国驻中国大使伯恩斯星期三(11月30日)表示，美国坚信中国人民有和平抗议的权利，有自由表达观点的权利，有发出自己声音的权利。
https://t.…",,zh
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
RT @DrIanWeissman: Her son's heart surgery has been cancelled twice. Surgeries are being cut as children's hospitals struggle with the surg…,,en
"RT @Mimiiiiim15: Voilà comment sont mes jambes à cause du covid,et ces médecins qui vous disent c’est le stress ?mdrrrr, personne ne donne…",,fr
RT @onlyyoontv: #China state media reported today communities in Beijing can quarantine #Covid19 infected people at home instead of governm…,,en
"Economics in the Age of COVID-19 MXZTSU7

https://t.co/mUzg84QU0U https://t.co/HgwxKE0MCI",,en
Canalhas proteger de que ???? COVID morreu genocidas https://t.co/bvuRSYolcF,,pt
"RT @GOPLeader: The Covid vaccine mandate in the military is wrong.

Our heroes have been fired. Our country is less safe.

I told the Presi…",,en
RT @WatchChad: COVID was made by design in a Chinese lab and the vaccine doesn’t work. In fact it does more damage than the disease. You ca…,,en
"RT @nettermike: House Republicans must hold COVID hearings: We need accountability for damage done to school kids, businesses - Fox News ht…",,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @DrEliDavid: Covid vaccine effectiveness countdown 🤣🤡

🔊 Sound On

https://t.co/q773EKxikl",,en
"RT @MeetJess: COVID hospitalization rates in babies as bad as for seniors amid Omicron wave

Infants younger than 6 months had the same rat…",,en
RT @fudrilshi: i cured my self of covid 19 by reading BL,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"You could prob make a clever bumper sticker from, moved to fucking OR to help dad thru cancer treatment. He’s in remission. Wishes I hadn’t. All I got: 3 yrs life stolen, 1a for covid jab. As I woulda anyway, caregiver or not: mental health professional. Oh, raging complex PTSD",,en
"RT @liqian_ren: Vice premier Sun Chunlan, lockdown enforcer, meeting with Covid experts.

Xinhua news now has no “dynamic zero” in the lang…",,en
"RT @MizukiS: 【重要！】

５６７ワ●チ●接種後も生き残る可能性があります！

ぜひご覧下さい

半泣きで声を詰まらせながら話してくれてます
もらい泣きしてしまいました

薬局の方が必死に伝えてくれています

コロナが詐欺だと氣づいてない無防備な方に
ぜひこの動画を…",,ja
RT @keetmuise: #BringBackMasks #COVID19 #covid #COVIDisAirborne #CovidIsNotOver,,qht
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @GOPLeader: The Covid vaccine mandate in the military is wrong.

Our heroes have been fired. Our country is less safe.

I told the Presi…",,en
"RT @asosin: Rail workers in California were twice as likely to die from COVID-19 compared with workers in all other other industries, an Au…",,en
RT @qo_ideme6: Etrange !! on ne parle plus de la guerre en Ukraine ! Ils ont rebasculé sur le covid et les Macronistes se réveillent un peu…,,fr
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
RT @RubinsteinOk: La falta de transparencia en la gestión de las vacunas para el COVID 19 fue marca registrada del gobierno. Se sigue sin s…,,es
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
Semalam sakit pinggang tak boleh bawak bincang walaupun period lambat lagi. Pastu sakit2 satu badan. Masa nak tidur badan menggigil2 walaupun tak demam. Sekali check positive covid 😭 mujur ahli lain dalam rumah ni negative,,in
"RT @SamGh1960: NEARLY 40% OF ALL COVID-19 DEATHS WERE NOT AN ACCIDENT...
🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/kRUtzwmA4x",,en
RT @ProudElephantUS: @BillClinton @kylenabecker Wait I thought you guys said the vaccinated couldn’t get COVID?,,en
"RT @JoJoFromJerz: He called for the execution of the Central Park Five, claimed our first Black President wasn’t born here, called Mexicans…",,en
RT @Mssarahmssarah: I still see zero media mentions of the fact that three children have died of covid in NYC in the last week and a half.…,,en
RT @akafacehots: The covid vaccine doesn't work! LOL i can say this and not get banned! Keep foaming liberals,,en
"RT @rhtunstall: RT @WesElyMD@med-mastodon.com
1st study: COVID vs Flu - compare

📌N= 7,082 hospitalized pts  50/50 COVID vs. Flu &amp; Matched…",,en
RT @Jima_Sofia: Vamos a fingir demencia frente a esta nueva ola de Covid no? estamos todos de acuerdo?,,es
"RT @Shane58637790: Why is no one talking about the 2.2 billion Fatty stole from Covid fund and poured into this year's budget, even though…",,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
"RT @rifain_nouvelle: 🔥François Braun Ministre de la Santé révèle à l'AN qu'il n'est pas #VaxXiné car il a eu le #COVID ""le 7 juin de l'anné…",,fr
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
"RT @l_am007: AYUSH Doctors (RBSK, MHU, COLOCATED) Have done a tremendous and dedicared job in the management of Covid in Odisha. Many losed…",,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @CKellyUAP: OUR HOSPITALS ARE FULL OF THE QUADRUPLE VACCINATED 💉💉💉💉

The ABC will never report this.

The  NSW govt’s own data shows tha…",,en
"RT @GuntherEagleman: If the vaccine doesn’t prevent the transmission of COVID,  why the fuck was it mandated...?",,en
@odeo64 @ellymelly My unvaxxed friends who had Covid are fine. Most of us took Ivermectin. My friends with long term or serious problems had the vax. One nearly died from her multiple blood clots.,,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"@BillClinton Yeah, yeah, yeah Covid blah, blah is this real? 😂 https://t.co/38Y9NPqvJo",,en
RT @JReinerMD: The military already mandates 17 other vaccines. Why single out the COVID vaccine? This type of mindless politicization is w…,,en
"RT @AFP: China signals possible relaxing of strict zero-tolerance Covid policy, after nationwide protests calling for an end to lockdowns a…",,en
"@DrCanuckMD @SeattleiteLeo @RyanMarino @SixOnTheOther @StompemAll @TMccarthyisms @AlexBerenson @DrJenGunter My sample size maybe anecdotal to you, but I've been living my normal mask free life since covid came and I'm perfectly fine. 😉 you keep living a life of fear and turning America into a bunch of hypochondriax",,en
RT @Bbmorg: Who are associated with massive unlawful payments to pals during Covid and who are associated with risking their lives working…,,en
"@EricMMatheny The majority of people who have died from covid are UNVACCINATED ! People who are vaccinated can get covid, but have a great chance to not die!",,en
@RepMTG You mean in the way trump owns all those covid deaths..,,en
RT @daralynn13: ELON MUSK ACCIDENTALLY UNLEASHED COVID-19 WHILE FELLATING A BAT,,en
"Biểu tình khắp nơi ở Trung Quốc, nơi đang bị chính quyền áp dụng chính sách phong tỏa Zero Covid 1 cach ngu ngốc và dã man. Ủng hộ người dân TQ đứng lên lật đổ chính quyền Cộng Sản mọi rơ.

https://t.co/Xtmcxsa683",,vi
"RT @paulstpancras: Officials slow to act on Covid contact-tracing warnings, leaked evidence says ~

https://t.co/v2VYroPSsz ~",,en
"Worst part about it is I bought these shoes during Covid lockdown and forgot. So literally they forgot to send me the shoelace over a year and a half ago, but we was in the house so I forgot I even bought the damn shoes or to look at them when they got here.",,en
"RT @OEFvetted: I’ve tested positive for Covid. I’m grateful to be vaccinated and boosted, which has kept my case mild, and I urge everyone…",,en
"@NototyrannyNOW Covid was real, but it was used to bring heat on the GOAT President Trump.",,en
"@Chris_AutismDad @MartinDoyle617 @cpso_ca @nilikm Well, that’s what my original point is about. I don’t know all the other things because I don’t follow her. I see her on tv, I know she’s a doctor worried about kids getting long Covid 

It seems anti maskers &amp; right wing don’t like her.",,en
RT @TomiLahren: Fun fact: VACCINATED Americans now account for the majority of COVID deaths,,en
RT @Osama_otero: covid?,,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @matthewdmarsden: Hey people that didn’t take the covid 19 vaccination. 

How are we even still alive?",,en
@MMA_DDMM Is there really nothing terrible about COVID-19? How many people died of COVID-19 in the United States,,en
RT @branemark1: China está impulsando un estudio dudoso que afirma que un corredor sin máscara infectó a casi 40 personas con COVID en un t…,,es
"RT @medical_for_all: COVID-19の感染爆発でDMATが入っている北海道、DMATですよ……？
災害なんですよ、今月だけで何百人が亡くなるのですか……処方できる解熱鎮痛剤がまだある所があったならよし、とか私が言ってるの狂ってますよ。

これが実態であるこ…",,ja
RT @N76247476Man: Why is Bill Clinton telling anyone he has Covid-19? The guy is a rapist and a child molester. I do not give a fuck about…,,en
RT @N76247476Man: Why is Bill Clinton telling anyone he has Covid-19? The guy is a rapist and a child molester. I do not give a fuck about…,,en
RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…,,en
"The COVID-19 version of me by Lensa...
 #aiart ? https://t.co/BxWDIb5xt3",,en
RT @NEWSMAX: Videos of COVID-19 protests in China continue to surface on Chinese sites despite the country's strict internet censorship. Ch…,,en
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @DrEliDavid: Canada's 🇨🇦 PM Justin Trudeau condemnded what's happening in China. Below is some horrible footage from police brutality in…,,en
"@100toMastery @mike32015444 Are you aware of this excellent video which exposes the ""C0VlD"" Iies in the 🇺🇸?
https://t.co/ykFpvonSof
Very relevant also for 🇨🇦 and many other countries.
A must-watch!! 🔥🔥",,en
RT @PeterHotez: Why Long Covid could be 'the next public health disaster'. My comments and interview with ⁦@GregIacurci⁩ ⁦@CNBC⁩  https://t…,,en
RT @COQUEMUNIZ: NO LO QUERÍA DECIR PERO AGUAS! En cdmx ya son varios conocidos que tienen otra vez COVID! NO TE CONFÍES PORFA CUÍDATE Y CUI…,,es
RT @arieella_: Happy birthday Covid?,,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @DrGJackBrown: 2/ 
B. COVID can kill you, farts cannot.
C. Cotton Underwear, even ""really thick ones, high quality cotton"" are not const…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @infosalus_com: Se cumple un año de la llegada de Ómicron, la variante más contagiosa de Covid-19 hasta la fecha

https://t.co/zMBDYzNVhr",,es
European women’s work-life balance worsened since COVID outbreak — study https://t.co/kbnCDC4nYh,,en
"RT @Teensthack: Taking a #Covid -19 vaccine not binding on anyone: Govt

Govt tells SC that vaccine beneficiaries have the option to access…",,en
"@Beaufighter_MkI Iowa has a WitchDoctor as Governor.
She held a New Years Eve like party when Republican Iowa Senator Pat Grassley brought her a bill banning masks in school.
Look to Mid January 2023 as to whether Covid is going away, or just then coming back in a big way.",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
RT @Jima_Sofia: Vamos a fingir demencia frente a esta nueva ola de Covid no? estamos todos de acuerdo?,,es
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @MemodiApp: Principales causas de muerte materna en Mexico hoy en día:

1. COVID 
2. Trastornos hipertensivos 
3. Hemorragia obstétrica…",,es
"@GOPLeader You know, Mr. McCarthy, I really shouldn't be doing this, but, you guys really should be reading about how COVID affects Republicans...
https://t.co/gIMV238pzE",,en
"RT @AlexVita9: @GOPLeader So you don’t care if they become ill perhaps die or have struggles from long Covid or infect others then Kevin?
T…",,en
RT @MarkLevineNYC: One of Musk’s most consequential twitter policy changes has been to allow dangerous public health messaging to spread li…,,en
"@HaHaFunnyAcct @ThatFurryNinja Given the bangup job that government at every level has done fighting covid, I'm honestly proud of our community for doing more than the legally required minimum.",,en
RT @ProudElephantUS: @BillClinton @kylenabecker Wait I thought you guys said the vaccinated couldn’t get COVID?,,en
RT @elheraldoco: A 36 mil cae el número de casos de la covid-19 en China; 87 % asintomáticos ➡ https://t.co/rpCiwlzohH https://t.co/NUSn0h0…,,es
"RT @LynnCha22280011: @RepMarkGreen @HouseGOP Your @GOP colleague SAID they were going to FIX Inflation, Immigration &amp; Crime. 

Does Hunter’…",,en
European women’s work-life balance worsened since COVID outbreak — study https://t.co/G58Aub9uoQ,,en
RT @JReinerMD: The military already mandates 17 other vaccines. Why single out the COVID vaccine? This type of mindless politicization is w…,,en
RT @washingtonpost: The rollback of Twitter’s covid misinformation policy is just the latest pivot since Elon Musk took control of the comp…,,en
RT @EmmaRincon: 🚨🇨🇳 | La policía sanitaria de Xi Jinping está literalmente violando por el ano a una mujer en plena calle con una prueba co…,,es
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
@TwatterWiz @1goodtern No I’ve had no vaccines for covid,,en
"RT @jabeale: ...portrayed Apple as a victim of China's Covid lockdown at the factory, costing them a $billion a week. 

Not mentioned, Appl…",,en
"@Amy31129057 @Kerrie1303 Doctors and hospitals made and still do, a lot of money for declaring deaths as covid on certificates. What a rort! Not only to make lots of money but also to suit the given false narrative, the must to get the clot shots. A man who died in a car crash in NZ was registered as Cov",,en
RT @EricMMatheny: If somebody sold you a car in the manner in which the COVID vaccine was sold and then the car performed in the manner in…,,en
I was so ready to see SF9 on Monday and now I can’t go bc I have fucking Covid,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
"RT @LauraMiers: LongCovid is debilitating &amp; life-changing. We are going to disable millions more.

“Of the nearly 24 million adults in the…",,en
RT @santiagomayer_: COVID-19 was created in a Tesla lab,,en
"COVID-19 and World Order: The Future of Conflict, Competition, and Cooperation 4VCOVRF

https://t.co/CtObHsNsIf https://t.co/VW3t3eWPpR",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @EricMMatheny: If the vaccine doesn’t prevent COVID; it doesn’t stop transmission; and if you get COVID, it could still be fatal…so what…",,en
RT @Creshna1: @ImaniDH_ It really is a lot like Covid. One person may get it and die. Another may cough for 2 days and be fine. So it’s bes…,,en
RT @brasildefato: O estado do Rio de Janeiro concentra altos dados de casos e óbitos por tuberculose. A pandemia de Covid-19 pode ter agrav…,,pt
