verified,hour_created,geo_enabled,default_profile,default_profile_image,favourites_count,followers_count,friends_count,statuses_count,average_tweets_per_day,network,tweet_to_followers,follower_acq_rate,friends_acq_rate,prediction
False,17,False,True,False,1,9,14,43,120.0,6.236,8.713,4.466,4.522,0
False,13,False,True,False,630,5379,383,822,1784.0,51.119,57.667,8.755,7.205,1
False,15,False,False,False,6151,9021,4923,13242,15674.0,77.43,86.441,9.346,8.903,1
False,7,False,True,False,26,128,141,2406,3021.0,24.084,37.839,6.612,6.629,1
False,15,True,True,False,9005,2938,2646,8557,9550.0,62.938,72.309,8.277,8.2,1
False,19,False,True,False,255,667,1220,11141,14612.0,46.229,60.61,8.328,8.454,1
False,23,False,False,False,68189,24118,2329,19909,24840.0,78.24,99.888,10.277,8.89,1
False,3,False,True,False,2018,41,581,827,946.0,23.796,25.113,5.081,6.553,0
False,19,False,True,False,73652,24033,3366,48449,48811.0,81.926,108.824,10.102,8.224,1
False,2,True,False,False,19121,500,470,6168,9307.0,38.262,54.254,8.2,8.191,0
False,0,False,False,False,2195,1469,2450,5490,10397.0,56.917,62.799,8.76,8.904,1
False,3,False,True,False,5568,830,1193,6496,10260.0,47.63,59.019,8.433,8.509,1
False,22,False,True,False,57587,7066,4874,63117,67888.0,75.265,97.963,9.379,9.174,1
False,0,False,True,False,9827,681,361,11120,11479.0,38.443,60.791,6.948,6.581,0
False,0,False,True,False,81115,836,2113,204343,207843.0,51.526,82.289,8.375,8.633,1
False,0,False,False,False,9600,172,218,1992,4493.0,27.771,39.152,7.891,7.908,1
False,23,False,True,False,3310,915,1664,74271,77127.0,50.588,76.49,8.235,8.416,1
False,17,False,True,False,7954,1841,4702,33128,37513.0,63.577,78.255,8.737,9.115,1
True,22,True,False,False,4921,31092,2789,14620,19710.0,82.073,99.208,10.496,8.972,1
False,0,False,True,False,7543,759,794,6603,8776.0,44.3,58.343,7.984,7.996,1
False,23,True,False,False,286,590,556,103079,108158.0,40.349,73.667,8.643,8.637,1
False,23,False,True,False,1434,61,123,2645,5579.0,19.894,32.525,8.005,8.026,0
False,14,False,False,False,170,963,570,40206,42827.0,43.613,72.846,8.185,8.068,1
False,23,False,False,False,59958,5354,5847,75490,79877.0,74.472,96.434,9.184,9.234,1
False,12,False,True,False,6437,52,184,5363,5460.0,20.726,34.095,5.011,5.642,0
False,22,False,False,False,15573,180,213,15243,20325.0,27.895,50.072,8.568,8.575,1
False,4,False,True,False,3574,55,185,228,621.0,21.035,21.873,6.107,6.361,0
False,15,False,True,True,161,3,53,104,1841.0,5.53,6.452,7.462,7.491,0
False,21,False,True,False,25,0,12,32,60.0,0.0,0.0,3.367,3.714,0
False,16,True,False,False,40015,1316,5006,65244,69574.0,61.19,79.631,8.639,9.142,1
False,0,True,False,False,24509,9742,2207,71764,75998.0,70.718,102.691,9.545,8.771,1
False,10,True,True,False,177396,3954,3874,156786,157900.0,68.434,99.083,8.531,8.515,1
False,17,False,True,False,84110,550,609,81663,86747.0,40.48,71.388,8.637,8.647,1
False,11,True,False,False,5530,11466,3707,24320,29337.0,76.818,94.399,9.71,9.074,1
False,12,False,True,True,1731,2,28,818,3412.0,3.699,7.37,7.862,7.872,0
False,13,False,True,False,1841,44,148,1497,1561.0,19.048,27.834,4.691,5.361,0
False,7,False,True,False,27720,475,651,44024,47114.0,39.952,65.924,8.179,8.227,1
False,15,False,True,True,197,30,299,4411,4477.0,19.587,28.818,4.575,5.903,1
False,19,False,True,False,1600,262,116,1982,2409.0,26.536,42.306,6.537,6.299,0
False,17,False,False,False,125109,2474,4317,60918,63451.0,65.407,86.089,8.519,8.832,1
False,18,False,True,False,1510,17,90,1698,1729.0,13.038,21.498,3.892,4.804,0
False,20,False,True,False,2412,54,82,9146,9677.0,17.708,36.552,6.373,6.42,0
False,19,True,True,True,2515,238,810,11838,13640.0,36.683,51.365,7.621,7.868,0
False,18,False,True,False,0,170,0,112594,113399.0,0.0,59.806,6.883,6.692,1
False,0,False,True,False,2775,28,63,86,1234.0,14.004,15.038,7.071,7.1,0
False,14,False,True,False,24604,832,1145,24100,29021.0,47.371,67.856,8.658,8.711,1
False,22,True,False,False,198222,1832,2742,24680,29860.0,59.485,75.992,8.856,8.978,0
False,20,False,True,False,3087,112,299,2308,2338.0,26.964,36.612,4.963,5.799,0
True,5,True,True,False,59346,5858,4059,15745,20629.0,72.086,83.845,9.282,9.099,0
False,0,True,False,False,78,34119,1183,62286,66989.0,73.864,115.226,10.567,8.681,1
False,1,False,False,False,1984,1610,1220,1705,4603.0,52.486,54.956,8.414,8.323,0
False,12,True,True,False,90980,12217,12074,129677,132618.0,88.45,110.79,9.626,9.617,1
False,16,False,False,False,14582,270,919,20843,23373.0,38.231,55.712,7.938,8.146,1
False,17,False,True,False,2801,1440,2153,3914,8877.0,55.822,60.167,8.765,8.87,1
False,3,False,True,False,8512,202,1345,9652,14532.0,38.281,48.749,8.534,8.736,1
False,3,True,True,False,30925,262,1186,12252,13339.0,39.446,52.454,7.208,7.729,0
False,13,True,False,False,31028,458,177,26005,30234.0,31.759,62.308,8.453,8.391,0
False,6,False,True,False,82090,969,1457,3957,4145.0,50.1,56.968,7.054,7.406,1
False,16,True,False,False,7586,491,3009,7092,12169.0,49.648,54.961,8.625,8.998,1
False,15,False,True,False,20942,137,457,11555,12981.0,30.189,46.094,7.355,7.541,1
False,21,False,True,False,274,11,48,654,936.0,9.671,16.114,5.684,5.802,0
False,22,False,True,False,148,10,30,210,247.0,8.234,12.833,3.871,4.22,0
False,9,False,True,False,4772,5,0,1999,3264.0,0.0,13.619,7.148,7.144,0
False,15,False,True,False,20376,168,273,18952,19242.0,28.795,50.528,6.129,6.335,1
False,19,False,True,False,2,3,14,3506,3538.0,3.754,11.316,3.584,3.85,1
False,21,False,False,False,124474,212,450,11172,16242.0,32.765,49.974,8.572,8.616,0
False,19,False,True,False,32330,1035,1370,12611,14220.0,50.152,65.56,7.88,8.0,0
False,0,False,True,True,51256,279,823,41776,43604.0,37.833,59.955,7.653,7.883,0
False,18,False,True,False,3403,56,184,2403,3217.0,21.106,31.475,6.77,6.907,0
False,16,False,True,False,36404,371,729,34775,40150.0,39.024,61.892,8.656,8.717,0
False,5,False,True,False,1167,27,284,776,5484.0,18.835,22.177,8.463,8.516,0
False,19,True,False,False,1057,30,274,921,5893.0,19.288,23.442,8.518,8.565,0
False,22,False,True,False,3541,12,64,5117,7499.0,10.707,21.906,7.781,7.803,0
False,0,True,False,False,76652,4211,4037,72828,76514.0,69.299,93.437,8.974,8.952,1
False,22,True,False,False,102379,1362,335,19808,22842.0,41.985,71.409,8.389,8.123,0
False,13,True,True,False,44887,4223,2704,14948,17813.0,65.977,80.249,8.866,8.625,1
False,15,False,True,False,31094,378,1402,10969,13103.0,43.026,55.236,7.829,8.171,0
False,6,False,True,False,4235,258269,1010,1951,4896.0,86.219,94.418,12.473,8.283,0
True,18,False,False,False,4286,50182,5,50212,55644.0,19.393,117.153,10.926,8.601,1
True,15,True,False,False,9704,34797,8284,19440,24286.0,94.348,103.267,10.588,9.483,0
False,18,False,False,False,7117,2077,1437,9101,12259.0,55.544,69.64,8.563,8.433,1
True,12,True,False,False,8616,2741,2290,8019,12783.0,61.247,71.166,8.923,8.861,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,6,False,True,False,25535,472,645,7714,11179.0,39.854,55.13,8.278,8.321,0
False,0,True,True,False,306190,694,744,34637,38840.0,43.277,68.402,8.497,8.507,0
False,16,False,True,False,17029,929,309,15681,20662.0,39.211,66.03,8.685,8.574,1
False,10,False,False,False,8,112,229,1581,5779.0,25.708,34.824,8.369,8.396,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,3,False,False,False,1745,71,83,1763,5076.0,18.949,31.97,8.127,8.131,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,22,False,True,False,743,56,39,2469,2558.0,14.914,31.584,4.984,4.86,0
False,3,False,True,False,27,0,1,34,170.0,0.0,0.0,4.92,4.927,1
False,20,True,True,False,19333,1619,1260,5303,8604.0,52.763,63.38,8.501,8.426,0
True,10,True,True,False,24266,59897,7058,43936,49053.0,97.486,117.6,11.082,9.407,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,6,False,True,False,82097,969,1457,3957,4145.0,50.1,56.968,7.054,7.406,1
False,15,False,True,False,20376,168,273,18952,19242.0,28.795,50.528,6.129,6.335,1
False,9,False,False,False,13539,503,948,10890,15769.0,42.658,57.843,8.591,8.67,1
False,21,False,False,False,124474,212,450,11172,16242.0,32.765,49.974,8.572,8.616,0
False,15,False,False,False,48,596,548,966,6220.0,40.321,43.939,8.674,8.666,1
False,13,False,True,False,140432,8988,5356,58161,58774.0,78.166,99.877,9.17,8.695,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,16,True,False,False,16195,5737,5742,41422,43241.0,74.914,92.015,8.93,8.931,1
False,16,False,False,False,100869,442,1532,50858,55944.0,44.696,66.035,8.618,8.798,0
True,17,False,False,False,1882,95727,584,39225,43866.0,73.078,121.312,11.517,8.561,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,23,True,False,False,4673,8160,2105,10828,15899.0,68.927,83.676,9.49,8.879,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,16,False,False,False,784,8768,338,11053,16132.0,52.894,84.53,9.536,8.597,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,19,False,True,False,22432,257,329,1375,1711.0,32.202,40.131,6.387,6.501,0
False,20,True,True,False,1715,597,1654,622,1559.0,47.386,41.14,7.336,7.86,1
False,0,True,True,False,1285,325,1241,6339,9220.0,41.229,50.662,8.073,8.324,1
False,17,True,False,False,901,2617,1515,9274,13953.0,57.64,71.895,8.895,8.731,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,17,True,True,False,8023,461,770,5868,10369.0,40.787,53.241,8.51,8.57,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
True,19,True,False,False,3146,13992,227,14657,18806.0,51.83,91.575,9.806,8.384,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,22,False,True,False,4152,244,432,2369,2677.0,33.397,42.748,6.315,6.608,0
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,14,False,True,False,5683,392,1108,5789,10763.0,41.884,51.756,8.588,8.713,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,18,False,True,False,144925,2841,5009,83968,85178.0,67.747,90.164,8.307,8.736,1
False,15,False,True,False,185,54,354,1797,1872.0,23.532,30.033,4.868,6.064,1
False,17,False,True,False,1705,4135,3074,4378,5091.0,66.879,69.822,8.487,8.24,1
False,4,True,True,False,329,62,341,492,567.0,24.174,25.69,4.927,6.033,0
True,10,True,False,False,21215,4660,1648,9436,13194.0,62.575,77.31,9.038,8.595,0
False,16,False,True,False,11754,4307,4983,60947,63742.0,71.247,92.199,8.868,8.959,1
False,7,True,True,False,1464,337834,194293,75869,80753.0,155.019,143.048,12.745,12.202,1
False,12,True,False,False,17642,59,326,127,4705.0,23.706,19.866,8.442,8.498,0
False,15,False,True,False,333,4,68,358,452.0,6.815,9.469,4.595,5.094,1
False,0,True,True,False,574,1093,371,33579,37466.0,41.418,72.927,8.513,8.357,1
False,21,True,True,False,5308,1445,4916,1361,1798.0,61.854,52.513,7.541,8.586,0
False,15,True,False,False,55940,1082,2076,15517,18218.0,53.375,67.428,8.239,8.472,0
True,23,False,False,False,13988,24430,5662,27928,33341.0,87.312,103.435,10.304,9.313,0
False,17,False,False,False,845,2564,756,2084,4863.0,52.039,59.992,8.584,8.171,1
False,18,False,True,False,1507,107,66,3229,3415.0,19.687,37.833,5.684,5.533,0
False,1,False,True,True,21405,58,163,7045,7327.0,20.795,36.128,5.832,6.1,0
False,8,False,True,False,100,575,161,498,1769.0,32.337,39.488,7.521,7.268,1
True,16,True,False,False,2053,6960,1579,2627,4694.0,65.168,69.67,9.108,8.202,0
False,22,True,True,False,343829,10351,11279,164977,166441.0,86.263,111.065,9.377,9.453,1
False,20,True,True,False,263224,3541,4966,74236,79187.0,69.552,91.654,9.047,9.202,1
False,16,True,False,False,4057,2679,2769,11993,14450.0,62.569,74.138,8.544,8.562,1
True,18,False,False,False,1414,4081,760,99585,104589.0,55.163,95.688,9.114,8.66,0
False,0,False,True,False,42,48,161,7134,10049.0,19.8,34.531,7.994,8.032,1
False,14,True,True,False,497,1344,65,334,834.0,30.183,41.886,7.52,6.339,0
False,12,False,False,False,1428,5047,776,10388,14085.0,56.749,78.86,9.076,8.406,1
False,19,False,False,False,23758,888,2680,49955,52494.0,53.601,73.461,8.14,8.56,1
False,17,False,True,False,7954,1841,4702,33128,37513.0,63.577,78.255,8.737,9.115,1
False,10,True,False,False,7458,13926,1549,7964,9484.0,70.093,85.71,9.645,8.029,1
True,13,True,False,False,201,3227439,2557,27160,32543.0,117.604,153.012,14.989,8.98,1
False,15,False,True,False,20376,168,273,18952,19242.0,28.795,50.528,6.129,6.335,1
False,15,False,False,False,48,596,548,966,6220.0,40.321,43.939,8.674,8.666,1
False,0,True,False,False,158161,8945,8390,515991,520940.0,82.208,119.686,9.539,9.499,1
False,19,False,False,False,9784,623,878,18076,20252.0,43.629,63.09,7.937,8.025,1
False,16,False,False,False,784,8768,338,11053,16132.0,52.894,84.53,9.536,8.597,1
False,19,False,False,False,9784,623,878,18076,20252.0,43.629,63.09,7.937,8.025,1
False,20,False,True,False,4766,4295,3763,13698,18010.0,68.875,79.681,9.06,8.997,1
False,3,True,True,False,3268,2017,2600,10202,12050.0,59.841,70.242,8.26,8.4,1
False,20,False,True,False,3919,15,7,2058,5082.0,5.765,21.155,8.02,8.017,0
False,19,True,False,False,1081,317,663,2450,7276.0,37.443,44.968,8.546,8.611,1
False,17,False,True,False,33919,334,1257,19366,20332.0,41.497,57.393,7.171,7.707,0
False,16,True,False,False,1,5240,1444,6747,10975.0,62.312,75.511,9.156,8.643,1
False,4,False,True,False,96,24,255,4033,4150.0,17.849,26.725,4.956,5.922,1
False,0,False,True,False,18380,743,849,12264,15638.0,44.6,62.249,8.323,8.349,1
False,18,True,False,False,2386,15997,1043,37945,42963.0,67.285,102.067,9.953,8.71,1
False,0,False,True,False,6847,487,367,11416,11560.0,36.573,57.835,6.449,6.238,1
False,18,True,True,False,16303,192,395,19998,23899.0,31.478,52.119,8.317,8.366,1
False,21,False,False,False,1233,2903,48,9979,13840.0,31.033,73.426,8.82,8.271,1
False,18,True,False,False,40688,6271,818,36647,38442.0,58.654,91.89,8.996,7.869,0
False,13,False,True,False,8811,540,553,3291,3680.0,39.757,50.972,6.835,6.849,1
False,19,False,False,False,2446,323,280,587,2502.0,32.594,36.862,7.714,7.694,0
False,15,True,False,False,2164,4826,178,3993,5532.0,43.999,70.337,8.759,7.449,1
False,11,True,False,False,387,695,605,1348,3986.0,41.935,47.173,8.112,8.085,1
False,13,True,True,False,5547,158,106,7794,7887.0,23.686,45.424,5.529,5.298,0
False,6,False,False,False,9937,1360,2309,22448,25658.0,55.888,72.297,8.427,8.616,1
False,21,True,False,False,6173,1942,826,7492,11984.0,50.867,67.555,8.77,8.579,0
False,10,True,False,False,189,2533,1263,3962,8356.0,55.976,64.932,8.843,8.641,1
False,17,False,False,False,29534,10891,3922,16177,19259.0,76.919,90.089,9.545,8.854,1
False,1,True,False,False,439,7927,255,1884,5198.0,49.785,67.71,9.327,8.18,1
False,1,True,False,False,4260,39106,1457,4525,6574.0,77.03,89.008,10.625,8.163,1
False,7,True,False,False,70817,625,448,31444,36383.0,39.325,66.686,8.624,8.592,1
False,7,True,False,False,23544,1101,776,35026,36497.0,46.621,73.298,7.853,7.718,1
False,19,False,True,False,68368,780,1156,37432,41266.0,46.981,70.138,8.437,8.515,0
False,9,False,True,False,1488,397,1551,1047,3403.0,43.984,41.634,7.921,8.271,0
True,18,False,True,False,685,6848,1321,3036,4024.0,63.474,70.819,8.967,7.745,0
False,23,True,True,False,3752,700,472,2549,4740.0,40.358,51.397,7.97,7.888,0
False,20,False,True,False,49220,4040,5001,44409,44805.0,70.732,88.866,8.398,8.594,1
False,7,False,True,False,4853,829,757,872,1155.0,44.568,45.517,7.015,6.948,0
False,17,True,False,False,5761,477,1684,2104,6105.0,45.837,47.21,8.407,8.646,0
True,17,False,False,False,5952,15896,2137,11987,15340.0,74.176,90.854,9.865,8.611,0
True,15,False,False,False,4891,57029,1946,21048,25228.0,82.946,109.016,11.022,8.72,1
False,18,True,False,False,4562,1342,2267,7621,11379.0,55.652,64.383,8.537,8.704,1
False,14,False,True,False,16,9854,175,6773,6832.0,47.546,81.114,9.202,5.46,1
False,0,False,True,False,3569,57,347,424,444.0,23.763,24.574,4.357,5.908,0
False,12,False,True,False,10921,266,476,8397,9573.0,34.459,50.485,7.274,7.41,1
True,17,False,False,False,5952,15896,2137,11987,15340.0,74.176,90.854,9.865,8.611,0
False,9,False,False,False,41008,1015,1642,72473,76669.0,51.264,77.482,8.559,8.672,1
False,7,True,False,False,23544,1101,776,35026,36497.0,46.621,73.298,7.853,7.718,1
False,22,True,False,False,811,5179,3008,35475,39520.0,68.501,89.602,9.13,8.861,1
False,16,False,False,False,34158,5655,5649,45841,50833.0,74.649,92.738,9.273,9.273,1
False,7,True,False,False,70817,625,448,31444,36383.0,39.325,66.686,8.624,8.592,1
False,21,False,True,False,9909,220,94,6360,10183.0,24.583,47.277,8.305,8.273,0
False,18,False,False,False,599,785,905,110721,116114.0,45.396,77.435,8.729,8.748,1
False,17,True,True,False,14886,109,196,6409,10639.0,24.834,41.203,8.376,8.395,0
False,14,False,True,False,1780,17,46,2626,6217.0,11.128,22.758,8.191,8.199,0
False,1,False,False,False,17856,153,131,2986,8068.0,24.594,40.306,8.563,8.559,0
False,18,True,False,False,2359,794,4938,9058,14458.0,56.799,60.85,8.731,9.244,0
False,1,True,True,False,14044,12948,2541,21621,25254.0,74.242,94.512,9.716,8.728,1
False,16,True,False,False,18260,350,587,3113,8290.0,37.373,47.142,8.618,8.66,0
False,14,False,True,False,3904,1115,1475,40210,44767.0,51.207,74.399,8.643,8.705,1
False,13,True,True,False,5547,158,106,7794,7887.0,23.686,45.424,5.529,5.298,0
False,8,False,True,False,7262,268,671,4097,4191.0,36.423,46.538,5.894,6.641,1
False,14,False,True,False,3904,1115,1475,40210,44767.0,51.207,74.399,8.643,8.705,1
True,23,True,False,False,29594,4341,3596,11564,15612.0,68.582,78.365,9.035,8.942,0
False,21,False,True,False,54069,6605,7248,111634,116171.0,78.182,102.233,9.319,9.375,1
False,23,True,True,False,6344,14,462,9104,9302.0,16.621,24.688,5.361,6.494,0
False,17,False,True,False,180,188,8,24503,25202.0,11.517,52.976,6.789,6.562,1
False,17,True,True,False,12421,2341,859,8278,8698.0,52.425,69.995,7.924,7.155,0
False,16,True,True,True,1519,47,339,2153,4029.0,22.565,29.712,7.562,7.703,0
False,5,False,True,False,1190,149,418,1995,2349.0,30.254,38.075,6.223,6.65,1
False,1,True,True,False,14044,12948,2541,21621,25254.0,74.242,94.512,9.716,8.728,1
False,12,False,True,False,450,24,40,2643,2715.0,11.954,25.365,4.575,4.727,0
False,5,False,True,False,1190,149,418,1995,2349.0,30.254,38.075,6.223,6.65,1
False,11,False,True,False,11811,209,533,3678,5312.0,33.582,43.902,7.52,7.682,1
False,9,False,False,False,62478,6309,5955,101990,106221.0,76.055,100.909,9.263,9.229,1
True,13,True,False,False,584,7816,732,12217,17270.0,59.137,84.358,9.463,8.663,0
False,13,True,True,False,170500,6316,6950,98866,100935.0,77.417,100.65,9.034,9.107,1
False,11,True,True,False,25727,1522,1517,33690,38685.0,53.682,76.399,8.782,8.782,1
False,0,True,True,False,3290,57,866,128,1284.0,27.469,19.733,7.102,7.612,0
False,14,False,True,False,19131,359,312,6640,7538.0,33.823,51.804,7.137,7.099,1
False,17,False,False,False,4180,80,272,2997,6557.0,24.651,35.181,8.2,8.251,0
False,21,False,True,False,5632,312,559,2287,3286.0,36.362,44.449,7.179,7.352,0
False,17,True,True,False,12421,2341,859,8278,8698.0,52.425,69.995,7.924,7.155,0
False,19,True,True,False,42077,753,1620,26294,29214.0,48.967,67.428,8.209,8.421,0
False,13,True,True,False,5547,158,106,7794,7887.0,23.686,45.424,5.529,5.298,0
False,15,True,False,False,8515,10720,5180,20245,25103.0,79.369,92.017,9.654,9.214,1
True,19,True,False,False,6256,24015,2066,28928,32679.0,76.999,103.614,10.232,8.669,1
False,22,False,True,False,3433,539,2329,5936,7140.0,48.782,54.667,7.464,8.17,1
False,17,True,False,False,10682,1793,2763,20625,23422.0,59.371,74.43,8.432,8.624,1
False,18,False,False,False,3478,488,797,2630,7726.0,41.378,48.766,8.628,8.682,0
False,22,True,True,False,17811,324,911,1086,5861.0,39.42,40.436,8.537,8.646,0
False,13,True,True,False,170500,6316,6950,98866,100935.0,77.417,100.65,9.034,9.107,1
True,2,True,False,False,10792,61224,12698,29006,34137.0,104.153,113.257,11.103,9.789,0
False,21,False,True,False,33208,831,1128,31893,33836.0,47.262,69.727,7.928,8.03,0
False,23,False,True,False,19,4,30,161,181.0,5.527,8.188,3.219,3.932,1
False,0,False,False,False,2195,1469,2450,5490,10397.0,56.917,62.799,8.76,8.904,1
False,0,False,False,False,2195,1469,2450,5490,10397.0,56.917,62.799,8.76,8.904,1
False,10,True,False,False,7458,13926,1549,7964,9484.0,70.093,85.71,9.645,8.029,1
False,10,True,False,False,41885,11686,12325,11816,16939.0,88.225,87.83,9.73,9.767,1
False,21,False,True,False,25,0,12,32,60.0,0.0,0.0,3.367,3.714,0
False,15,False,True,False,20942,137,457,11555,12981.0,30.189,46.094,7.355,7.541,1
False,9,False,False,False,13539,503,948,10890,15769.0,42.658,57.843,8.591,8.67,1
False,11,False,True,True,10361,606,2360,13259,14206.0,49.774,60.833,7.349,8.104,1
False,22,False,False,False,1416389,17403,19146,1934219,1938797.0,96.277,141.343,9.998,10.074,1
False,19,False,True,False,1,440,36,81,644.0,21.987,26.833,6.912,6.397,1
False,0,False,False,False,5572,110,338,1612,5242.0,27.438,34.784,8.227,8.286,0
True,18,True,False,False,12967,3718,1950,13846,19098.0,62.285,78.396,9.102,8.882,0
True,17,True,False,False,139496,198960,16656,46679,52073.0,118.6,131.172,12.228,10.001,0
False,0,False,True,False,14,37,53,20,464.0,14.51,11.075,6.178,6.211,0
False,17,False,False,False,9180,160,436,11279,16112.0,30.895,47.413,8.516,8.57,1
False,21,True,False,False,10475,4737,1497,4138,6692.0,61.883,70.485,8.895,8.307,1
False,21,True,False,False,5582,2635,1573,7610,11848.0,57.986,70.4,8.836,8.668,1
False,22,False,True,False,1439,603,908,999,1665.0,43.623,44.234,7.147,7.362,0
False,15,False,True,False,64,179,434,160,1104.0,31.549,26.388,7.025,7.229,1
False,4,False,True,False,3268,710,3380,4018,9076.0,53.36,54.495,8.66,9.041,1
False,20,True,True,False,8457,327,1309,3849,6282.0,41.581,47.826,7.923,8.228,1
False,2,False,True,False,376,281,281,936,1375.0,31.831,38.606,6.581,6.581,1
False,16,False,True,False,11754,4307,4983,60947,63742.0,71.247,92.199,8.868,8.959,1
False,17,False,True,False,125,194,156,10898,13594.0,26.662,49.02,7.969,7.956,1
False,12,False,True,False,81512,2162,3989,58081,62409.0,63.673,84.238,8.778,9.026,1
False,12,True,False,False,17642,59,326,127,4705.0,23.706,19.866,8.442,8.498,0
False,18,True,True,False,1232,13418,267,5398,6478.0,53.139,81.681,9.582,7.206,1
False,22,False,True,False,555,1866,645,1830,3660.0,48.739,56.586,8.215,7.814,1
False,10,True,True,False,1993,760,186,1817,2968.0,34.706,49.796,7.556,7.199,0
False,16,False,True,False,177,75,51,145,783.0,17.112,21.583,6.571,6.537,0
True,16,True,False,False,2053,6960,1579,2627,4694.0,65.168,69.67,9.108,8.202,0
False,14,True,False,False,2562,26392,1817,10730,15297.0,76.412,94.487,10.34,8.762,1
False,10,False,True,False,653,563,673,70702,73724.0,41.262,70.739,8.185,8.215,1
False,22,False,True,False,217741,4935,5230,90703,91851.0,72.817,97.08,8.713,8.761,1
False,12,True,False,False,2174,2875,893,8690,12656.0,54.122,72.235,8.831,8.489,0
False,10,False,True,False,5606,18423,2686,8586,11669.0,77.552,88.962,9.976,8.66,1
False,14,False,True,False,44,15,93,45,523.0,12.597,10.615,6.203,6.349,0
False,19,True,False,False,4367,2434,2841,7370,12837.0,62.009,69.441,8.975,9.025,1
False,18,True,False,False,927,2486,1746,9066,13092.0,58.373,71.248,8.782,8.661,1
False,19,True,True,False,8600,5977,2256,14139,17334.0,67.147,83.104,9.124,8.604,1
False,2,True,False,False,3744,363,657,2375,7419.0,38.268,45.84,8.596,8.649,0
True,14,True,False,False,4863,33971,2924,48413,53518.0,83.269,112.55,10.573,8.991,1
False,17,False,False,False,404,427,780,9258,13272.0,40.357,55.34,8.399,8.475,1
False,6,False,True,False,757,220,1282,189,947.0,38.634,28.324,6.887,7.621,1
